number,mean_r,mean_g,mean_b,mean_rg,HHR,Ent,B,G1,G2,G3,G4,G5,label
1,166.85559314125743,84.03056106380497,118.80730199463432,82.82503207745246,0.5225702441271304,4995.168513531395,112.31478060046189,122.81265508684864,118.81607795371498,71.05055928411633,84.5903143371517,112.31478060046189,12.2
10,160.04814765280193,88.11194329276448,120.41794837501672,71.93620436003745,0.431622231065128,3567.3731114338,113.58772515010007,95.55787476280835,90.55317324185249,70.5763888888889,82.54083350696415,113.58772515010007,11.3
11,167.29617805345254,105.98595275015963,144.63486272005838,61.310225303292896,0.16098622189992748,7735.020889524355,128.85257403189067,76.8879746835443,74.19594166138238,68.02343059239611,78.08737976833109,128.85257403189067,13.2
12,175.3761205564142,124.36831530139104,156.70092735703247,51.007805255023186,0.27041519840661865,9703.310299351342,143.57561050766506,88.51344537815126,82.42033626901521,66.37229245213278,73.28875908213236,143.57561050766506,10.6
13,174.11693759832198,112.9745673833246,150.0254326166754,61.14237021499738,0.19007547497180532,7991.2277512620785,135.68181421718273,78.7816968541468,77.02022058823529,69.68711608739599,76.0581403351568,135.68181421718273,10.6
14,162.87762001352266,109.99650664863647,140.26188866351137,52.88111336488618,0.30428475786654763,5430.293764146114,129.42641764176417,97.14091350826045,96.59944751381215,70.40873283817241,78.09086409705431,129.42641764176417,9.1
15,158.56863522261858,105.52133703263311,140.48659003831418,53.04729818998547,0.216618761431931,3656.8783385546076,125.79902669998685,101.63653663177926,98.52848722986248,69.01927130382414,79.72253858766871,125.79902669998685,10.9
16,172.96692077320992,123.007487067792,159.1614484072965,49.959433705417915,0.14371013706065952,3320.754082513936,142.18178110129165,92.56867196367764,92.67215041128084,72.53961387486981,84.70989587591541,142.18178110129165,8.9
17,186.79168361949712,109.32207665391813,142.8446578240703,77.46960696557898,0.5746635506487227,8971.096152904485,136.63176251115257,79.71940298507462,74.4,66.99576142900393,68.2260102164381,136.63176251115257,11.5
18,159.3610850006714,81.27715858735061,118.33852558077078,78.0839264133208,0.4896469338996549,3717.0342107248375,109.20731217356368,112.2469597754911,110.78033088235294,69.41375592927986,79.86131023964268,109.20731217356368,10.1
19,165.3300074302091,89.12949793015603,121.07313448678484,76.20050950005307,0.4973544973544973,5872.687538067708,115.74692666384061,94.40687679083095,90.88838060384263,71.75278158817254,84.77098361374638,115.74692666384061,12.6
2,96.79894875164257,47.020696452036795,79.6419185282523,49.77825229960578,0.31234533956557603,0.0,60.2191894127378,150.26424050632912,150.13355048859935,76.0150726010101,100.4615079874681,60.2191894127378,8.0
20,158.99352460649533,87.42418808527596,123.19475991233314,71.56933652121937,0.22442537239814542,6667.699018657787,113.26442833018774,98.55867346938776,98.45376712328768,70.25528129864354,79.79341174602463,113.26442833018774,11.9
21,165.56187895212287,84.59659310878823,124.62743579816751,80.96528584333463,0.26590038314176245,3919.901622414493,113.60038585209003,76.06844336765596,74.16073546856465,69.86649041639127,81.12683516728013,113.60038585209003,14.8
22,164.48747433264887,100.27597535934292,138.87987679671457,64.21149897330595,0.29297672519395673,0.0,123.92569786535304,118.68308921438083,118.02691790040377,72.74498702524181,85.45509448886627,123.92569786535304,10.7
23,164.97106382978723,106.61758865248227,138.52113475177305,58.353475177304965,0.34203875315922494,2982.0911506616317,127.90740478550191,91.75843694493783,87.95833333333333,68.85192728369918,77.55984012146082,127.90740478550191,9.8
24,147.77554657794676,83.75903041825094,110.25594106463879,64.01651615969581,0.4706021251475797,4732.150852483118,106.14045077105575,100.54450757575758,96.50593607305936,70.44751009421265,83.90473772099041,106.14045077105575,13.4
25,152.61197539797396,92.705499276411,127.11143270622287,59.90647612156295,0.3538322813345356,772.719779690866,114.59113924050632,100.92136025504782,102.30837988826816,72.56465282637433,87.56694428114967,114.59113924050632,9.2
